City,Place,City_Place,Rating,City_desc,Place_desc,latitude,longitude
Dabolim,Rita's Gourmet Goa,Rita's Gourmet Goa-Dabolim,4.795539033457249,-,-,,
Morjim,Lost Paradise Goa - Day Cruise,Lost Paradise Goa - Day Cruise-Morjim,4.794642857142857,-,-,,
Kochi (Cochin),Wonderla Amusement Park,Wonderla Amusement Park-Kochi (Cochin),4.789135096497498,-,-,17.217138300000002,78.52891918672825
Bengaluru,Wonderla Amusement Park,Wonderla Amusement Park-Bengaluru,4.770562770562771,-,-,17.217138300000002,78.52891918672825
Jaipur,Elephant Joy,Elephant Joy-Jaipur,4.769230769230769,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,,
Morjim,Woof Woof,Woof Woof-Morjim,4.768041237113402,-,-,,
Mumbai,Red Carpet Wax Museum,Red Carpet Wax Museum-Mumbai,4.767337807606264,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.",-,,
Kolkata,Nicco Parks & Resorts Limited,Nicco Parks & Resorts Limited-Kolkata,4.764,""", ,  Starting from admiring the flourishing art scene in the city to going on rewarding gastronomical explorations to wandering amidst the countless bazaars to sitting by the banks of the Hooghly and enjoying a peaceful sunset, Kolkata is soaked in layers and layers of heritage and culture, and peeling off each layer to look beneath the hood is a very rewarding, once-in-a-lifetime experience.",-,,
Hubli-Dharwad,Agadi Thota,Agadi Thota-Hubli-Dharwad,4.760416666666667,-,-,,
Lonavala,Della Adventure Park,Della Adventure Park-Lonavala,4.738473360655738,"With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports., ,  Surrounded by dense forests, waterfalls, and dam alongside lakes, it is a must-visit if you admire nature."," Della Adventure Park is a fun amusement cum waterpark based in Lonavala. Boasting of a plethora of activities including Aqua Zorb, swoop swing, flying fox, rappelling, paintball, buggy ride, bull ride, land zorbing etc, the park also has a nightlife club and several restaurants both for fine dine and binge eating.  ",,
Kumarakom,Canoe Kerala,Canoe Kerala-Kumarakom,4.737288135593221,-,-,9.4904227,76.3845989
Varanasi,Ruchika Art Gallery,Ruchika Art Gallery-Varanasi,4.735294117647059,"Worlds oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India.",-,,
Nashik,Vallonne Vineyards,Vallonne Vineyards-Nashik,4.729838709677419,"The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravanas sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process.",-,,
Mandrem,Shanti Ayurvedic Massage Center,Shanti Ayurvedic Massage Center-Mandrem,4.727272727272728,-,-,,
Surat,VR Surat,VR Surat-Surat,4.720763723150358,-,-,21.1581677,72.7696204
Hyderabad,Wonderla Amusement Park,Wonderla Amusement Park-Hyderabad,4.712239583333333,"The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting.",-,17.217138300000002,78.52891918672825
Mumbai,Essel World,Essel World-Mumbai,4.710360618202633,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars."," Located on the edge of northern suburbs, Mumbai's favourite adventure and water park, Essel World and Water Kingdom are probably the best themed park and water park in India. During the hot and humid summer or Mumbai, a lot of locals and tourists throng Water Kingdom. ",19.2253824,72.8080979
Trivandrum,Magic Planet Theme Park,Magic Planet Theme Park-Trivandrum,4.709595959595959,-,-,8.5844266,76.8794976
Lonavala,Wet N Joy Water Park,Wet N Joy Water Park-Lonavala,4.706896551724138,"With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports., ,  Surrounded by dense forests, waterfalls, and dam alongside lakes, it is a must-visit if you admire nature."," Wet N Joy Water Park is situated on the Old Mumbai Pune highway in Lonavala and is synonymous with fun, thrill and excitement. With a variety of joy rides, water slides, fun zones and a massive food court, the water park is a popular recreation spot both among the kids and the adults. ",,
Chennai,VGP Snow Kingdom,VGP Snow Kingdom-Chennai,4.706349206349207,""", , "" Amid its chaos of traffic and sweltering humid climate, Chennai is worth visiting for its temples steeped in south-Indian culture, British-era museums and monuments, culinary delights and Marina Beach (Second largest urban beach in the world).",-,,
Amer,Elefun,Elefun-Amer,4.704545454545454,-,-,,
Mumbai,KidZania Mumbai,KidZania Mumbai-Mumbai,4.702190645352279,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars."," Kidzania is an indoor theme cum educational park for kids located in Ghatkopar West in Mumbai. There are no video games or any new age games, instead the entire space is setup in form of a mock city with real life professions for children to take up. The mock city has battery operated cars and tiny shops and clinics etc. The objective of the park is to educate, inspire and teach kids about real life in a fun and games way.  ",,
Amer,Elejungle,Elejungle-Amer,4.698924731182796,-,-,,
New Delhi,Select Citywalk,Select Citywalk-New Delhi,4.695866141732283,-,-,28.5286033,77.2194221504939
Ranthambore National Park,Ranthambore Safari Tours,Ranthambore Safari Tours-Ranthambore National Park,4.694656488549619,-,-,,
Havelock Island,Radhanagar Beach,Radhanagar Beach-Havelock Island,4.692405063291139,-,-,11.9826676,92.95707831459254
New Delhi,Adventure Island,Adventure Island-New Delhi,4.691304347826087,-,-,,
Chhatarpur,Arhanta Yoga Ashram,Arhanta Yoga Ashram-Chhatarpur,4.691056910569106,-,-,,
Lansdowne,Lansdowne Trip - Travel Cafe,Lansdowne Trip - Travel Cafe-Lansdowne,4.690265486725664,-,-,,
Mumbai,Water Kingdom,Water Kingdom-Mumbai,4.689922480620155,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.",-,19.23262815,72.80609966374101
Shirdi,Sai Teerth Theme Park Shirdi,Sai Teerth Theme Park Shirdi-Shirdi,4.688034188034188,-,-,,
Khopoli,Imagica Water Park,Imagica Water Park-Khopoli,4.6840400471142525,-,-,18.76627745,73.27784266211785
Pahalgam,Endless Tour and Travels,Endless Tour and Travels-Pahalgam,4.682819383259912,-,-,,
Morjim,Konkan Explorers,Konkan Explorers-Morjim,4.679347826086956,-,-,15.6337093,73.7529169
Alwar,Flying Fox Neemrana,Flying Fox Neemrana-Alwar,4.672340425531915,-,-,,
Kovalam,Bay of Life Surf & SUP,Bay of Life Surf & SUP-Kovalam,4.662650602409639,"All these three beaches are crescent-shaped shallow water and low tidal beaches., ,  Earlier a fishing village, Kovalam started attracting tourists in the 1930s and shot to fame in the hippie era of 1970s.",-,,
Kumily,Periyar Cabs,Periyar Cabs-Kumily,4.658064516129032,-,-,,
Mumbai,Snow Kingdom,Snow Kingdom-Mumbai,4.657894736842105,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.",-,,
Sanguem,Tanshikar's Working Organic Spice Farm,Tanshikar's Working Organic Spice Farm-Sanguem,4.6571428571428575,-,-,,
Ajmer,Nareli Jain Temple,Nareli Jain Temple-Ajmer,4.6571428571428575,"Ajmer has also been selected as one of the heritage cities for the HRIDAY (Heritage City Development and Augmentation Yojana) scheme of the Government of India.Apart from Ajmer Sharif Dargah and the Jain Temple, there are some other tourist attractions in Ajmer as well.", Nareli Jain Temple is a beautiful marble temple with angular and strikingly appealing designs. The temple is situated on the ranges of the Aravali Mountains that makes the views from the temple more scenic.  ,26.4591873,74.70346327676455
Noida,DLF Mall Of India,DLF Mall Of India-Noida,4.656,-,-,28.5673659,77.32119892627531
Agra,Wildlife SOS,Wildlife SOS-Agra,4.655878467635403,"History, architecture, romance all together create the magic of Agra, and hence, makes for a must-visit for anyone living in or visiting India., ,  Agra is one of the most populous cities in Uttar Pradesh and 24th most populous city in India.", Wildlife SOS is a non-profit organisation in India that rescues and rehabilitates wild animals and forests. Its Agra Bear Rescue Facility is the largest sloth bear rescue facility in the world housing 130 sloth bears. The Elephant Care and Conservation Centre rescues and rehabilitates abused and captive elephants. ,27.2998755,77.7937949
Colva,Zorro Jewellers,Zorro Jewellers-Colva,4.654545454545454,-,-,15.27644,73.91807
Kolad,Kundalika Rafting,Kundalika Rafting-Kolad,4.651785714285714,-,-,,
Raipur,Ambuja City Center Mall,Ambuja City Center Mall-Raipur,4.648484848484848,-,-,,
Noida,Worlds of Wonder,Worlds of Wonder-Noida,4.646074646074646,-,-,28.56493325,77.32596517303415
Poicha,Nilkanth Dham Swaminarayan Temple,Nilkanth Dham Swaminarayan Temple-Poicha,4.6454545454545455,-,-,21.9704614,73.462695
Geyzing,"Mountain Tours, Treks & Travels","Mountain Tours, Treks & Travels-Geyzing",4.643646408839779,-,-,,
Khopoli,Imagica Theme Park,Imagica Theme Park-Khopoli,4.642052144659377,-,-,18.766823950000003,73.28049287967758
Rajkot,Shri Ramakrishna Ashrama,Shri Ramakrishna Ashrama-Rajkot,4.640522875816994,-,-,,
Ganpatipule,Arey Ware Beach,Arey Ware Beach-Ganpatipule,4.64,-,-,,
Amer,Elefantastic,Elefantastic-Amer,4.63847619047619,-,-,26.9874584,75.9006841
Nuvem,Milsim Goa Paintball,Milsim Goa Paintball-Nuvem,4.635294117647059,-,-,15.32193,73.939759
Agonda,Krishna Ayurveda Massage Centre,Krishna Ayurveda Massage Centre-Agonda,4.63302752293578,-,-,,
Agonda,Agonda Beach,Agonda Beach-Agonda,4.6306355241716455,-,-,15.0415524,73.98716228503216
Kamshet,Templepilots Paragliding,Templepilots Paragliding-Kamshet,4.629107981220657,-,-,,
Amritsar,Gobindgarh Fort,Gobindgarh Fort-Amritsar,4.628339140534263,Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras.," Gobindgarh Fort echoes the grand stories of Punjab’s past. Widely known as a symbol of the era when Punjab was forged, it represents a glorious past of 257 years starting with the Bhangi Misl era and ending with the Indian Army  ",31.6271122,74.8604078
Gurugram (Gurgaon),Sai Ka Angan Temple,Sai Ka Angan Temple-Gurugram (Gurgaon),4.628070175438596,-,-,,
Surat,Gopi Talav,Gopi Talav-Surat,4.6234567901234565,-,-,21.188573,72.82945388974863
Pune,ISKCON NVCC Temple,ISKCON NVCC Temple-Pune,4.622908622908623,"Pune is a city that perfectly blends modernity with tradition sprinkled with colonial-era charm, and it deserves the title of being the cultural capital of Maharashtra., ,  Behind the modern commercialized façade of Pune lies the roots of ancient Poona, which gave birth to the Maratha Empire and had a very crucial role to play in the history of India’s independence.", ISKCON NVCC (New Vedic Cultural Center) is located in the less congested area of Kondhwa near Pune. It is a temple devoted to Lord Krishna and Goddess Radha. The temple has lavish green hills in the background and provides its visitors with a great ambience.  ,18.4479105,73.88071380736828
Vrindavan,Prem Mandir - Shyama Shyam Dham,Prem Mandir - Shyama Shyam Dham-Vrindavan,4.615028901734104,"Since Vrindavan is considered to be a sacred place, a large number of people come here to abandon their worldly life., ,  The city of Vrindavan hosts hundreds of Lord Krishna and Radha temples scattered throughout, the most famous ones being Banke Bihari temple and the world-famous ISKCON temple.",-,,
Jaipur,Akshardham Temple,Akshardham Temple-Jaipur,4.612903225806452,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,21.75409795,72.14177882095044
Bengaluru,ISKCON Temple Bangalore,ISKCON Temple Bangalore-Bengaluru,4.611549915835815,-,-,13.0116837,77.5516458
Tapovan,Vedansha,Vedansha-Tapovan,4.611510791366906,-,-,30.1289512,78.3202902
Pune,Pawna Lake,Pawna Lake-Pune,4.611111111111111,"Pune is a city that perfectly blends modernity with tradition sprinkled with colonial-era charm, and it deserves the title of being the cultural capital of Maharashtra., ,  Behind the modern commercialized façade of Pune lies the roots of ancient Poona, which gave birth to the Maratha Empire and had a very crucial role to play in the history of India’s independence.",-,,
Hyderabad,Jalavihar Water Park,Jalavihar Water Park-Hyderabad,4.609756097560975,"The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting.",-,17.43253125,78.46534257257986
Hyderabad,Calvary Temple,Calvary Temple-Hyderabad,4.609302325581395,"The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting.",-,17.486606350000002,78.36687902519296
Darjeeling,Japanese Peace Pagoda,Japanese Peace Pagoda-Darjeeling,4.608738828202582,"Have a cup of locally brewed chai at the tea estate, or get down amidst the plantations to pluck a few tea leaves yourself; you are free to take your pick!The third highest peak in the world and the highest in India, the Kanchenjunga peak, is visible from here, and you can enjoy a panoramic view of the peak."," As you climb up from Clubside along Gandhi and AJC Bose roads, you see this glistening white structure standing out - that's the Peace Pagoda. The Peace Pagoda, one of the 70 odd such structures built under the guidance of Japanese monk Nichidatsu Fujii, is worth a visit during the daily pujas. ",,
Vadodara,"ISKCON Baroda, Sri Sri Radha Shyamasundar Mandir Temple","ISKCON Baroda, Sri Sri Radha Shyamasundar Mandir Temple-Vadodara",4.608695652173913,-,-,,
Hyderabad,The Forum Sujana Mall,The Forum Sujana Mall-Hyderabad,4.602150537634409,"The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting.",-,,
Nashik,Sula Vineyards,Sula Vineyards-Nashik,4.60202492211838,"The city is home to plenty of exotic temples and is known in Hindu mythology as the place where Ravanas sister, Surpanakha, tried to seduce Lord Ram and got her nose cut off by Lakshman in the process.",-,20.0046995,73.6869947
Cansaulim,Arossim Beach,Arossim Beach-Cansaulim,4.601226993865031,-,-,15.3267818,73.8960344
Kochi (Cochin),Kashi Art Gallery,Kashi Art Gallery-Kochi (Cochin),4.595870206489676,-,-,9.9638232,76.239102
Taoru,Heritage Transport Museum,Heritage Transport Museum-Taoru,4.595441595441596,-,-,,
Silvassa,Swaminarayan Temple,Swaminarayan Temple-Silvassa,4.591111111111111,-,-,22.4535093,70.0285144
Chandigarh,ISKCON Temple Chandigarh,ISKCON Temple Chandigarh-Chandigarh,4.589743589743589,"Chandigarhs Rock Garden is very well known for being entirely designed out of discarded industrial and urban waste, while the Leisure Valley is an 8-kilometre-long well-maintained park that houses Asias most extensive rose garden, a very popular draw among tourists and locals alike.Another famous place to visit in Chandigarh is the Capitol complex, often referred to as Le Corbusier Centre.",-,,
Jaipur,Birla Mandir Temple,Birla Mandir Temple-Jaipur,4.588427438170789,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,17.4060347,78.46886347210466
Morjim,Ashwem Beach,Ashwem Beach-Morjim,4.586744639376218,-,-,15.6418137,73.7191171
Betalbatim,Betalbatim Beach,Betalbatim Beach-Betalbatim,4.584745762711864,-,-,15.2931923,73.9077452
Chennai,The Forum Vijaya Mall,The Forum Vijaya Mall-Chennai,4.579952267303103,""", , "" Amid its chaos of traffic and sweltering humid climate, Chennai is worth visiting for its temples steeped in south-Indian culture, British-era museums and monuments, culinary delights and Marina Beach (Second largest urban beach in the world).",-,,
Canacona,Palolem Beach,Palolem Beach-Canacona,4.5777777777777775,-,-,15.0093077,74.02422899735367
Udaipur,Forum Celebration Mall,Forum Celebration Mall-Udaipur,4.577617328519856,"Visit its larger than life havelis and monuments, stroll through the bustling street markets, ride through one of the seven lakes of the city or relax in one of the extraordinary hotels, and you will discover the charm of Udaipur.",-,,
Gandhinagar,Adalaj Trimandir,Adalaj Trimandir-Gandhinagar,4.577540106951871,-,-,23.1784824,72.5721279
Nagpur,Swaminarayan Temple,Swaminarayan Temple-Nagpur,4.577181208053691,-,-,22.4535093,70.0285144
Jaipur,Jaipur Wax Museum,Jaipur Wax Museum-Jaipur,4.5767790262172285,"With the old city surrounded by walls and gates decorated with drawings on the backdrop of a beautiful pink hue, Jaipur, the pink city, successfully retains its old-world charm.",-,26.9391114,75.8163025
New Delhi,Habitat World Convention Centre,Habitat World Convention Centre-New Delhi,4.576470588235294,-,-,,
Magadi,Fever Pitch Basecamp Outbound,Fever Pitch Basecamp Outbound-Magadi,4.576151121605667,-,-,,
Diu,Ghogla Beach,Ghogla Beach-Diu,4.574358974358974,-,-,,
Dehradun,Tibetan Buddhist Temple,Tibetan Buddhist Temple-Dehradun,4.573170731707317,"Dehradun is also known as the ""Educational Hub of Uttarakhand"" with some of the country\s prestigious universities and boarding schools., , "" As you would expect from a city located in the foothills of the Himalayas, Dehradun abounds in caves, waterfalls and natural springs.",-,,
New Delhi,Sunder Nursery,Sunder Nursery-New Delhi,4.572815533980583,-,-,28.59690975,77.24701877915552
Ranchi,Rock Garden,Rock Garden-Ranchi,4.572368421052632,-,-,23.40346805,85.31273571589216
Bhopal,Badi Jheel Lake,Badi Jheel Lake-Bhopal,4.569620253164557,-,-,,
Mandi,Barot Valley,Barot Valley-Mandi,4.566037735849057,-,-,,
Utorda,Utorda Beach,Utorda Beach-Utorda,4.564742589703588,-,-,15.3196353,73.898934
Kanpur,Shri Radhakrishna Temple,Shri Radhakrishna Temple-Kanpur,4.564245810055866,-,-,,
Chandigarh,Sukhna Lake,Sukhna Lake-Chandigarh,4.562195661797255,"Chandigarhs Rock Garden is very well known for being entirely designed out of discarded industrial and urban waste, while the Leisure Valley is an 8-kilometre-long well-maintained park that houses Asias most extensive rose garden, a very popular draw among tourists and locals alike.Another famous place to visit in Chandigarh is the Capitol complex, often referred to as Le Corbusier Centre."," Sukhna Lake is a man-made lake and one of the most famous attractions in Chandigarh. With its pristine blue water, it is frequented by morning joggers and walkers. Boating, rowing, trampoline jumping and solar cruise are popular activities here. Sukhna Lake also houses Siberian ducks and cranes. ",30.74229775,76.81736855122782
Bengaluru,VR Bengaluru,VR Bengaluru-Bengaluru,4.561497326203209,-,-,12.99635335,77.69538988171388
Noida,KidZania Delhi NCR,KidZania Delhi NCR-Noida,4.561484918793504,-,-,,
Mumbai,Sri Sri Radha Rasabihari Ji Temple,Sri Sri Radha Rasabihari Ji Temple-Mumbai,4.559859154929577,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.",-,,
Igatpuri,Vaitarna Dam,Vaitarna Dam-Igatpuri,4.559701492537314,-,-,19.8223565,73.5101531
Lonavala,Narayani Dham Temple,Narayani Dham Temple-Lonavala,4.5588235294117645,"With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports., ,  Surrounded by dense forests, waterfalls, and dam alongside lakes, it is a must-visit if you admire nature."," Located in Dhankawadi Lonavala, Narayani Dham Temple is dedicated to Ma Narayani. Built in 2002, the shrine is constructed in white marbles and is a popular tourist spot of the city. The magnanimous four storeyed temple also houses idols of Ganpathi, Hanuman and several other deities which are decked up with dazzling jewels and in beautiful apparels. ",,
New Delhi,Gurudwara Bangla Sahib,Gurudwara Bangla Sahib-New Delhi,4.558381088825215,-,-,28.625421,77.2095761
Gurugram (Gurgaon),Kingdom of Dreams,Kingdom of Dreams-Gurugram (Gurgaon),4.557571758495546,-,-,28.46812985,77.06912641367134
Indore,Gomatgiri,Gomatgiri-Indore,4.557522123893805,-,-,,
Ahmedabad,Dada Bhagwan Temple,Dada Bhagwan Temple-Ahmedabad,4.556603773584905,"The historic city of Ahmedabad or the old part of the city was declared as the UNESCO World Heritage Site., ,  Home to a plethora of remarkable temples like Swaminarayan Temple, intriguing museums and classy markets, with a little bit of colonial history attached to it, Ahmedabad is an excellent example of how a city can still retain every bit of its old-world charm while still rapidly progressing on the path of globalisation.Ahmedabad is famous for its textiles and its tie-dye bandhani handloom technique, which makes it a great place to shop."," Dada Bhagwan Temple (also known as Adalaj Trimandir) is a trimandir situated in the village of Adalaj on the Ahmedabad-Kalol highway, 20 kms from Ahmedabad. Built by Dada Bhagwan Foundation, the trimandir brings forth a unique religious concept where statues of all religious deities are placed on a common platform. ",,
Hyderabad,Shri Jagannath Temple,Shri Jagannath Temple-Hyderabad,4.556187766714083,"The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting.",-,17.6893696,75.9091209
Mumbai,National Centre for Performing Arts,National Centre for Performing Arts-Mumbai,4.554545454545455,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.",-,18.92495625,72.81976573983067
Bengaluru,Sree Surya Narayana Swamy Temple,Sree Surya Narayana Swamy Temple-Bengaluru,4.554054054054054,-,-,,
Tiruchirappalli,Sri Ayyappan Temple,Sri Ayyappan Temple-Tiruchirappalli,4.553719008264463,-,-,8.6970163,77.633286
Mumbai,Prithvi Theatre,Prithvi Theatre-Mumbai,4.55256064690027,"From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars.",-,19.1062144,72.8256899
Kanyakumari,Our Lady of Ransom Church,Our Lady of Ransom Church-Kanyakumari,4.552238805970149,"But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas."," Our Lady of Ransom Church is a famous Catholic Church built in dedication to Mother Mary. A brilliant example of Gothic architecture, the church was built during the 15th century and looks breathtakingly beautiful against the blue lashing waves of the ocean behind it.  ",,
Mangalore,Kudroli Gokarnath Temple,Kudroli Gokarnath Temple-Mangalore,4.551923076923077,-,-,,
Jodhpur,Umaid Heritage Art School,Umaid Heritage Art School-Jodhpur,4.550632911392405,"Jodhpur is primarily famous for its temples, lakes and snacks, with the magnificent Mehrangarh Fort being the main attraction., ,  The magic of Jodhpur lies in the streets of the old city itself, which circles the mighty Mehrangarh."," The Umaid Heritage Art School is an art gallery as well as an art school located in the centre of Jodhpur. It is the ideal place to view and learn the world famous Rajasthani miniature painting style, along with other fascinating art and painting styles. ",26.2949577,73.0223449
New Delhi,Lodhi Garden,Lodhi Garden-New Delhi,4.549320219843795,-,-,28.59626845,77.22155326227056
Navi Mumbai,Seawoods Grand Central Mall,Seawoods Grand Central Mall-Navi Mumbai,4.549222797927461,-,-,19.02136825,73.01893897806204
Kullu,Tirthan Valley,Tirthan Valley-Kullu,4.548611111111111,-,-,,
Varca,Varca Beach,Varca Beach-Varca,4.547361299052774,-,-,15.2179493,73.9300810048542
Surat,ISKCON Temple,ISKCON Temple-Surat,4.547058823529412,-,-,28.44099945,77.06272618417123
Siliguri,"ISKCON Siliguri, Sri Sri Radha Madhavsundara","ISKCON Siliguri, Sri Sri Radha Madhavsundara-Siliguri",4.546875,-,-,,
Gurugram (Gurgaon),NeverEnuf Garden Railway,NeverEnuf Garden Railway-Gurugram (Gurgaon),4.54601226993865,-,-,,
Cavelossim,Cavelossim Beach,Cavelossim Beach-Cavelossim,4.545824847250509,-,-,15.1712405,73.9418221152188
Kullu,Great Himalayan National Park,Great Himalayan National Park-Kullu,4.544827586206897,-,-,31.79683345,77.72445391576932
Ahmedabad,Sabarmati Riverfront,Sabarmati Riverfront-Ahmedabad,4.544587505960896,"The historic city of Ahmedabad or the old part of the city was declared as the UNESCO World Heritage Site., ,  Home to a plethora of remarkable temples like Swaminarayan Temple, intriguing museums and classy markets, with a little bit of colonial history attached to it, Ahmedabad is an excellent example of how a city can still retain every bit of its old-world charm while still rapidly progressing on the path of globalisation.Ahmedabad is famous for its textiles and its tie-dye bandhani handloom technique, which makes it a great place to shop."," Sabarmati Riverfront is a waterfront developed on the banks of river Sabarmati in Ahmedabad. Started with an objective for sustainable development and environmental improvement, the pace has now become a major tourist attraction owing to its lush green promenades, beautiful parks and plazas and an all-around soothing ambience. ",23.0192844,72.57363641605264
