city,hotel_star_rating,latitude,longitude,property_address,property_name,rating,price
Manali,2,32.245327,77.18922,"Adarsh Market, The Mall Manali",New Adarsh Annexe,2,1053
Hyderabad,1,17.438037,78.389837,"Plot No 2, Brindavan Colony Near Nector Gardens, Madhapur Hyderabad",Luxor Park,1,1487
Jaisalmer,2,26.8972,70.5993,"CVS Colony, jaisalmer CVS Colony",Hotel Ajanta Haveli,2,1887
Mussoorie,2,30.454533,78.081074,"Kulri, The Mall Rd, Mussoorie, Uttarakhand 248179",Hotel PikNik,2,1098
Munnar,0,0,0,"The kenstar powerhouse, chithirapuram, Idduki, Kerala",The Kensar Homestay,0,2057
Gandhinagar,1,23.23116,72.649365,"plot No 436, GH-5 Road Sector 16, Gandhinagar",Hotel Vasundhra,1,2257
Nahan,1,30.438177,77.577047,"paonta sahib , distt sirmour, HP",Hotel Grand Riviera,1,1721
Jammu,4,32.596574,74.959716,"NH A1, Vijaypur",Hotel 17 Miles,4,3279
Katra,1,32.988833,74.928142,railway road kundorian,Pratap Resort,1,1911
Palakkad,3,10.769421,76.656247,"Robinson Road, Palakkad Palakkad",Sayoojyam Residency,3,1959
Nagpur,1,21.151397,79.098131,"51, Central Avenue Opp. Gitanjali Cinema",Hotel Woodlands,1,1345
Mussoorie,2,0,0,"picture palace, landour bazar, clock tower, mussoorie",Hotel Castle View,2,1725
Manali,2,32.248894,77.185981,"CIRCUIT HOUSE, NEAR MALL ROAD Hadimba Road",Snow Line,2,1200
Gandhinagar,3,23.230765,72.646536,"Plot No448, 2nd Floor, Sector-16, Gandhinagar",Hotel Neelkamal,3,1365
Munnar,3,10.042304,77.178551,"Chinnakkanal, Munnar Chinnakanal, Munnar",Holiday Heaven,3,1715
Kolkata,3,22.533848,88.353182,"35A, Sarat Bose Road Bhawanipur,South Kolkata",The Samilton,3,2044
Mysore,1,12.421516,76.681695,"State Highway 17, Karnataka",Amblee Holiday Resort,1,1140
Munnar,3,9.989989,77.06995,"Thekkinkanam, Munnar, Idukki, Kerala Kunjithanni, Munnar",The Aruvi Resort,3,1377
Munnar,1,10.03104,77.047384,Power house Road,Winter Casa Resort,1,1204
Patnitop,1,0,0,Near Nag Mandir,Hotel Dogra Residency,1,1558
Nasik,2,20.008587,73.794296,"Malviya Chowk, Panchavati, Nashik malviya chowk panchvati nashik",Singhania Guest House,2,1680
Kasol,1,32.009549,77.316763,New Kasol Parvati Valley Distt Kullu,Hotel Krishna Palace,1,2043
Bhatinda,1,0,0,"Z-1, 10663, Gandhi Market, Near Railway Station Bhatinda",DI Residency,1,1774
Itanagar,1,0,0,itanagar,Hotel Kameng,1,1393
Nasik,1,0,0,"FCI Road, Near State Bank of India, Dist Nashik, Manmad",Hotel Shree Leela International Manmad,1,1978
Nainital,2,29.398018,79.444534,"Alpine Club, Aryapatta Hill,Near Aurobindo Ashram Near Arbindo Ashram Ayarpatta Mallital",Alpine Club,2,1492
Orchha,1,25.351837,78.636118,Behind Ram Raja temple near laxmi mandir road,Hotel Sunset,1,1270
Junagarh,1,21.523497,70.455288,Opp. ST Stand,Hotel Vishala,1,1064
Kovalam and Poovar,3,8.38637,76.978122,"Hawa Beach, Kovalam Hawa Beach, Kovalam",Hotel Pappukutty Beach Resort,3,2200
Munnar,5,10.021297,77.054798,"chithirapuram po, chithirapuram powerhousemunnar",Broad Bean resort &spa,5,4400
Nasik,1,19.9469,73.7654,"2ND FLOOR, DEEP LAXMI APARTMENT, PATHARDI PHATA, NASHIK",Feel Like Home,1,2221
Mysore,4,12.309186,76.662407,"No. 3, Nethra Nivas, Nazarbad Road Mysore",Hotel Sandesh The Prince,4,3089
Hyderabad,1,17.433,78.3681,"Road no 68,Jubilee Hills, Hyderabad",alcove service apartments jubilee hills,1,1413
Jabalpur,3,23.1553,79.9257,"Nagpur Highway, Jabalpur(MP) Nagpur Highway",Hotel Gulzar Towers,3,2162
Junagarh,1,0,0,"Opp Minalvav, Jalaram temple, Virpur Virpur",Murlidhar Guest House,1,1690
Junagarh,1,0,0,"Railway Station road, Junagadh",Hotel Shree Krishna and Janta Lodge,1,1253
Kodaikanal,1,0,0,"observatory, Near Palivasal, kodaikanal",Cubix Cottage,1,2031
Kolkata,3,22.622087,88.445603,"RGM - AS/464, Main Arterial Road, New Town Main Arterial Road, New Town",Pipal Tree Hotel,3,1441
Kanyakumari,3,8.083317,77.549958,"2/83 B, WEST CAR STREET, Kanyakumari. KANYAKUMARI",HOTEL TEMPLE CITI,3,1082
Munnar,3,10.073772,77.064231,"M.S.A Road, Munnar Munnar",Archana Residency,3,1925
Jamshedpur,4,22.8629259,86.205174,"H-33, Near Pardih Kali Mandir, Jamshedpur",Hotel Golden Leaf Resort,4,2729
Murudeshwar,1,14.812762,74.13095,"Church Beach Road, Murdeshwar,  Tal Bhatkal,  Dist Karwar - Karnataka",Sea View Beach Resort,1,1755
Muvattupuzha,1,0,0,"Sheela Inn, Muvattupuzha",Sheela Inn,1,1395
Nathdwara,1,0,0,Near Moti Mahal Chopati,Hotel Sudarshan,1,1066
Nathdwara,1,24.941213,73.823705,"Opp Lal Baugh, Bus Stand, National Highway-8 National Highway-8",Hotel Gokuldham,1,1302
Mandawa,3,28.053947,75.148114,"Near Old Telephone Gali, Opp to Arya Samaj Bhawan, Ward No - 5",Hotel Radhika Haveli Mandawa,3,1204
Daman,1,20.438246,72.83072,"Bhandarwad Road,ganga mata Devka Beach nani daman",Devka Beach Homestay,1,1476
Hyderabad,2,17.425058,78.425487,"Plot No-17, Lane beside TDP Office, Madhukunj Apartment Road No-2, Banjara Hills",Falcons Nest- Banjara Hills,2,1185
Najibabad,1,0,0,"Haridwara Road, Najibabad",Hotel Rajan,1,2291
Munnar,3,10.000891,77.06109,"Maryland, Eatty city Road Anachal, Munnar",Season7 The Nature Resort,3,1731
Shimoga,1 star,0,0,"Bharathipura Post, Thirthahall , Shimoga Dist",Rainbow Hospitality Holiday Home NH 13,1,2245
Dharamshala,3 star,32.229457,76.327405,"Main Road, Mcleodganj , Mcleodganj",Pride Surya Mountain Resort,3,1543
Samode,2 star,0,0,"shlip colony , samod",Raj Haveli,2,2053
Udaipur,1 star,24.57127,73.691544,"Hanuman Ghat , O/s Chandpole , O/s Chandpole",Hotel Panorma Guest House,1,1528
Muvattupuzha,1 star,0,0,"Zeneith homestay, Muvattupuzha ,",Zeneith homestay,1,1062
Chikmagalur,1 star,13.314376,75.770816,"BYARAVALLI , CHIKMAGALUR",Travelers Bungalow Homestay,1,1047
Udaipur,1 star,24.560496,73.654664,"Mountain Ridge, Sisarma, Udaipur ,",Mountain Ridge,1,1461
Silchar,1 star,24.826,92.797,"Park road NH 54 , silchar",Hotel Borail View,1,1392
Varanasi,1 star,25.307481,83.004387,"D35/13,Khari Kuan ,",Subh Laxmi PAying Guest House,1,1606
Dapoli,2 star,17.780258,73.114559,"At Post - Murud,Taluka - Dapoli, district - Ratnagiri - 415712. , Murud Harnai",Lotus Beach Resort-Murud Harnai,2,2053
Guwahati,1 star,26.115956,91.79831,"Beltola - Basistha Rd , Maidamgaon, Krishnapur",HOTEL RUDRAKSH INN,1,1296
Dharamshala,1 star,32.244113,76.332866,"Bhagsunag Dharamsala Kangra ,",Hotel Bhagsu View,1,1777
Nainital,2 star,29.42301,79.427487,"Pangot , Nainital",The Hidden Valley Camps and Resorts,2,1053
Indore,1 star,0,0,"flat no - 201202 2floor, NV villa, 17-A, Silicon City, Rau Pithampura Road , Indore",Meraki Inn,1,2205
DEOGHAR,1 star,0,0,"Jalasar road, Deoghar ,",KAMLA HOTEL,1,2121
Palampur,1 star,32.2509,77.1845,"Lohna Hills , Opposite Hotel TeaBud",Hotel Holiday Home,1,2140
Chikmagalur,1 star,13.268812,75.719553,"Tex woods sheegekhan estate, next to muthodi wildlife sanctuary via malandar , Next to muthodi wildlife sanctuary via malandar",Tex Woods Resort,1,1859
MountAbu,1 star,24.589501,72.713886,"hotel golden veena,near old barrier,mount abu,raj. , near old barrier mount abu",Hotel Golden Veena,1,2064
MountAbu,1 star,24.5925,72.715556,"Nr Taxi Stand, Nr Taxi Stand, Akshay Colony , Akshay Colony",Couples Paradise Hotel,1,1354
Pithoragarh,1 star,29.584397,80.218383,"VADDA ROAD, TILDHUKRI, , PITHORAGARH",Baakhlee,1,1318
Varanasi,1 star,25.302,83.0075,"B 14/34, Mansarovar Ghat , Sonarpura, Varanasi",Leela Guest House,1,2076
Tirupati,3 star,13.6294,79.4376,"19-3-10/A, Next to RE Bajaj Auto showroom, Renigunta road , Renigunta road",Best Western Tirupati,3,1025
Lachung,1 star,0,0,"Tashi Yankhel,Singring Lachung,North Sikkim ,",Kongchen Tashi Yangkhel,1,2101
Satna,1 star,24.573918,80.839918,"Reewa Road, Satna, Madhya Pardesh India , Reewa Road",Hotel Savera,1,1188
Shimoga,3 star,13.92969,75.570971,"B.H. Road Opposite Vinayak theatre , Near Shimoga Bus Stand",Royal Orchid Central,3,1114
Guwahati,1 star,26.18128,91.741128,"Afsar Lane, S.S. Road, Fancy Bazaar , Fancy Bazaar",Hotel City Park,1,1574
Dharamshala,1 star,32.221584,76.315655,"Village - Bhagsu, , Mcleodganj",Ravine Hotel,1,1739
Chikmagalur,1 star,12.982809,77.655044,"Guddada Bangale , Herur, Koppa Taluk",Prakruthi Homestay,1,2118
Gwalior,3 star,26.209875,78.187278,"City Center Main Road , City Center Main Road",Hotel Royal Inn,3,1612
Indore,1 star,22.711088,75.875616,"148, RNT Marg, Chawani, Near Dawa Bazaar Opp. School Ground , Near Dawa Bazaar Opp. School Ground",Hotel Rama Inn,1,1869
DEOGHAR,1 star,24.511849,86.696999,"Station Road B Deoghar , Near ICICI Bank",Hotel Park View,1,1742
Indore,3 star,22.2226,76.0387,"Indore Khandwa Road, , Behind Gopal Midway, Mortakka",Rewa Resort,3,2236
Idduki,1 star,9.602654,77.165802,"Thekkady Byepass Road, Kumily , Thekkady",Deervilla Home Stay,1,1216
Guwahati,3 star,26.112876,91.750938,"Betkuchi, Lokhra,NH 37, , Opp Balaji Temple, Guwahati",Hotel Royal Heritage,3,1999
Chikmagalur,1 star,13.155903,75.511358,"Javali PO, Mudigere Taluka , Chikmagalur",Honeyvale Homestay,1,1381
Udaipur,1 star,24.10184,74.441901,"120 kms from Udaipur, , PO DHARIYAWAD, DISTT PRATAPGAR",FORT DHARIYAWAD,1,1855
Indore,1 star,22.736605,75.773124,"Nainod Road, near Gommatgiri, Indore-453112 MP,India ,",Dream World Resort,1,2139
Kohima,1 star,10.239291,77.497634,"Moonjikkal Bus Stand, kodaikanal ,",Hotel Ruby International,1,1234
Udaipur,1 star,24.576107,73.69744,"145/Hotel Street,Sararitu Vilas, , Inside Udaipole",Hotel Hadi Rani Palace,1,1036
Gwalior,1 star,0,0,"Gandhinagar, near blue dart office , Padav",Heaven Homes Service Apartment,1,1901
Palampur,1 star,32.1011,76.5332,"Palampur District Kangra ,",Hotel Highland Regency,1,2206
Tirupati,1 star,13.629449,79.423943,"169, T.P. Area , T.P. Area",Hotel Pasuparthy Residency,1,2013
Indore,3 star,22.720943,75.876476,"11/5, South Tukoganj, , Nath Mandir Road",Amrit Residency,3,2007
Azamgarh,3 star,26.0529082,83.1760311,"Opp Roadways Civil Lines ,",STARiHOTEL Azamgarh,3,2011
Lachung,1 star,27.6967,88.7484,"Near Lachung Police Station, Lachung , North Sikkim",Delight Hotels Royal Lachung,1,2059
Idduki,1 star,0,0,"KUMILY, THEKKADY , THEKKADY",DOLPHIN RESIDENCY,1,2216
Chikmagalur,1 star,0,0,"prakash lodge opp ksrtc stand , chikamagalur",prakash lodge,1,1972
MountAbu,1 star,24.53712,72.795208,"Nr. Abu road Bus Stand,Opp. Darbar School , Opp. Darbar School",Hotel Bhagwati International - 28 kms from Mt Abu,1,1669
Kashid,1 star,0,0,"Kashid , District Raigad",Nisarg Tourist Home,1,1584
Muvattupuzha,1 star,0,0,"Ambadi tourist home, Muvattupuzha ,",Ambadi tourist home,1,1931
Dharwad,1 star,15.44705,75.012814,"Tollnaka, PBRoad , Dharwad",KARISHMA RESIDENCY,1,2138
NubraValley,1 star,0,0,"Hunder Village , Leh",Natures Nest North Luxury Camps,1,2275
Shimoga,1 star,14.211721,74.872552,"P O Box Talavata, Thalaguppa , Shimoga dist",Ajjanamane Homestay,1,1879
Nainital,3 star,29.38999857,79.44644612,"Vienna Lodge Comp, Dhampur Band. , Barapathar Rd, Nr,Cave Garden",Hotel Rio Grand,3,1769
MountAbu,2 star,24.590026,72.711359,"Near Polo Ground , mount abu",Hotel Shanti,2,1040
Dwarika,1 star,22.248106,68.956723,"Opp Lords Hotel , Sea Road Lane",Hotel Sea View,1,1400
WeekendGetawaysAroundHyderabad,3 star,17.44572,78.392557,"Swamy Ayappa Society , Lane Opposite to Madhapur Petrol Bunk ,Plot No 1213, Hotel Opposite to HDFC , Madhapur",Horizon Residency,3,2207
Udaipur,1 star,24.575361,73.692129,"Kalaji Goraji Lake Palace Rd, Brahmpuri, Udaipur ,",Hotel Love Kush,1,1445
Madurai,1 star,9.937187,78.144898,"No 4 5, Melur Road,KK Nagar, ,",Hotel Krishna Residency,1,1914
Uttarkashi,1 star,30.807394,78.450815,"Village Kuflon, Sangamchatti , PO Kalyani, Uttarkashi",Kuflon Basics,1,1081
Chikmagalur,1 star,0,0,"Kelahalli Estate , Balur Post",Koffeewoods Homestay,1,1415
Muvattupuzha,1 star,0,0,"Deepika Inn, Muvattupuzha ,",Deepika Inn,1,1319
MountAbu,1 star,24.588845,72.712088,"Opp Taxi Stand, Mount Abu , Rajendra Marg",Hotel Neelkanth,1,1635
Indore,3 star,22.725264,75.884699,"39, Race Course Road, Opp 56 Shops , Opp 56 Shops",Hotel Sapphire Star,3,1452
Palampur,1 star,0,0,"chandpur village , palampur",Earth House,1,2270
Gwalior,1 star,26.195253,78.151206,"near Roxy pul , near Roxy pul",Hotel Shubham Continental,1,2078
Dharamshala,1 star,32.244854,76.332726,"Bhagsunag Mcleod Ganj , Dharamshala",OAK VIEW GUEST HOUSE,1,1559
Udaipur,1 star,24.574937,73.699765,"Opposite Bharat Petrol pump , Udaipur-Rajasthan",Royal Hotel,1,2290
Nainital,1 star,0,0,"Mallital , Nainital ,",Hotel shanta regency,1,2084
Tirupati,1 star,0,0,"Siva Jyothi Nagar, ,",Sri Himalasya Inn,1,1228
Dapoli,1 star,17.753197,73.187528,"Homestay Samudraj Bunglaw,Dapoli,Ratnagiri , Ratnagiri",Home Stay Samudraj Bunglaw,1,1717
Varanasi,1 star,25.327417,82.989001,"Cantt Rd, Parede Kothi , Cantt Station, Chetganj",Anand Lodge,1,1552
Yavatmal,1 star,0,0,"taurants Bar NH -no 7, Hydrabad rd, Yavatmal HO , nr, Khuni River Pandhar Kawada, Yavatmal",Trupti Restaurant and Bar and Ganesh Residency,1,1955
Chikmagalur,1 star,13.2932,75.8418,"Prakruthi Estate, Sampide Kate , Athigundi Village",Kemmanagundi Homestay,1,1955
Dharamshala,3 star,32.254475,76.302009,"Nr Dalai Lama Security Quarters Past Dalai Lamas Palace Enroute Buddha House , Mcleodganj",The Horizon Villa- North,3,2171
Indore,3 star,22.693808,75.867159,"13, Professor Colony Bhanwarkua Road , Bhanwarkua Road",Golden Treat,3,1013
Lalitpur,2 star,24.701662,78.420967,"Anand Tower, Elite Crossing ,",Hotel Anand Residency,2,1140
Indore,1 star,22.7242976,75.8255508,"225, Kalani Nagar , Indore",Green Tulip,1,1559
Guwahati,2 star,26.176553,91.754105,"G S Road, Ulubari , G S Road, Ulubari, Opp A S T C Petrol Pump",Hotel Amrit Regency,2,1833
Indore,3 star,22.718142,75.872673,"12, RNT Marg , RNT Marg",Hotel Shreemaya,3,1861
Chikmagalur,1 star,0,0,"Near chikamagalur bus depo ,",Hotel Prakash,1,1097
Guwahati,4 star,26.132924,91.793251,"Wlreless, Beltola Basistha Road, , Guwahati",ROYALE de CASA,4,3947
Udaipur,1 star,24.575644,73.69761,"2, Sarvritu Vilas, Inside Udiapole , Sarvritu Vilas",Hotel Sneh Palace,1,1034
DEOGHAR,4 star,24.493031,86.694157,"R R Baxi Road, Near Tower Chowk , Near Tower Chowk",Clarks Inn Amrapali,4,3027
Valsad,1 star,20.611155,72.932739,"White House Lane,Bechar Road, , Valsad- 396001",HOTEL GRANDEUR,1,1350
Udaipur,2 star,24.577736,73.701443,"On main road, 23 City Stations Road, Outside Surajpole, Udaipur - 313001 , Outside Surajpole",Hotel Surbhi Palace,2,2235
Kollam,1 star,0,0,"Thannakal Mazhayum Road, Kollam ,",Raksha Heritage,1,1039
Tirupati,1 star,0,0,"14-3-293/ A, Railway Station Road, Tirupati Ho, Opp Railway Deepam Canteen, Tirupati - ,",Raj Residency Deluxe Lodge,1,1063
Madhupur,1 star,0,0,"Thana More, Aangan Complex , Madhupur",Aangan Marraige Hall and Guest house,1,1277
Washim,1 star,20.1124,77.1368,"Washimkar Complex, Post Office , Near Bus Stand, Akola-Nanded H",Hotel Washimkar Executive,1,1362
Udaipur,1 star,24.548287,73.674983,"119 D, Shikarbadi Colony, Governdhan Villas , Governdhan Villas",Devraj Villa,1,1933
Udaipur,3 star,24.567592,73.677763,"Lake Pichola , The Palace Complex",Jagmandir Island Palace,3,1994
Nainital,3 star,29.344583,79.558343,"Bhimtal ,",PRIM Resorts - Fredys Bungalow Nainital,3,1028
Nainital,3 star,29.365122,79.551659,"Bhowali Road , Bhimtal Distt","Shikha Inn Resort, Bhimtal, 20 kms from Nainital",3,1108
Patiala,1 star,30.34058,76.401074,"Bus Stand Road , Bus Stand Road",Kaka Hotel,1,2271
Indore,4 star,22.6476809,75.961062,"Gram Jamniya Khurd, Kampel Road, Ahead of Devguradia Temple , Ahead of Devguradiya Temple",Crescent Resort and Spa Indore,4,3252
Indore,1 star,0,0,"51 new dewat road opp chandra , gupt talkies ynroad",Hotel Divya Palace,1,1984
Bhimavaram,1 star,0,0,"Balusumoodi, , bhimavaram",Hotel Pranams,1,1177
Satna,1 star,0,0,"Bamhanganwa, Rewa Road Satna , Behind Parijat Niwas",Hotel Apaar Residency,1,1433
Chikmagalur,1 star,13.386439,75.767546,"Erealla Survey No 275 No 275, DasaraHalli Grama, Dasara Halli Grama Chikmagalur , Chikmaglur",The Spectrum,1,1414
Baharampur,1 star,24.0989,88.2577,"40, KN Road Berhampore, , Murshidabad",Hotel Sonali Bangla,1,1278
MountAbu,3 star,24.595142,72.720989,"Behind Gujarat Circuit House, Near Kumarwara , Near Kumarwada",Shiv Villa,3,1544
Khandwa,3 star,21.8207,76.3526,"Plot no8, Loharinaka Road , Old Bus Stand, Khandwa",Hotel Castle Inn,3,1253
Tirupati,1 star,0,0,"12/1, Pk Layout, Opp Srinivasam Complex Main Gate, Tirupati ,",Hotel Sushma Bording and Lodging,1,1024
Guwahati,1 star,26.192823,91.752398,"152,MGRoad,Opp Sati Radhika Park Main Gate, , Uzanbazar Riverside",Riverview Guest House,1,1798
MountAbu,3 star,24.592593,72.715625,"Opp .Polo ground,Nr.Gurudwara , Nr Gurudwara",HG Grandiose Hotel,3,2082
Dharamshala,1 star,32.218159,76.318479,"Cantt Road, District Kangra , District Kangra",Hotel Pine Valley,1,1771
Guwahati,2 star,26.178655,91.756422,"Dr. B Barooah Road,Ulubari , Ulubari",Hotel Green Valley,2,1921
NewTehri,1 star,0,0,"Sursingdhar ,New Tehri ,",Himalayan Eco Lodge,1,1066
Idduki,1 star,9.60616,77.16684,"KUMILY THEKKADY BYEPASS ROAD, THEKKADY , IDUKKI",The Makam Residencey,1,1248
Dharamshala,1 star,32.247138,76.332308,"Bhagsu Nag, Mcleodganj , Mcleodganj",Turkish Cottage,1,1817
Nainital,2 star,29.364899,79.551246,"Bhowali Road ,",Shikha Inn Resort,2,1036
MountAbu,1 star,0,0,"Opp Chacha Museum, Shivaji Marg , Mt Abu Rd",Hotel Kiran Mount Abu,1,1627
Udaipur,1 star,0,0,"34,Moti Chohta, , OppAyurvedic Hospital, Udaipur",FM Rooms Udaipur,1,2044
Nainital,1 star,0,0,"Near Naini Bend, 2 kms , Bhimtal Road, Bhowali,Nainital",hotel avlokhan,1,2039
Hassan,3 star,12.995371,76.080464,"Tanneeruhalla, B.M. Road , B.M. Road",Hotel Mayura International,3,2075
Saputara,3 star,20.526017,73.751857,"Uday Hill Resort, Saputara - Nasik Road, Hatgad Fort Area , Near Yograj Holiday Homes",Uday Hill Resort,3,1687
Udaipur,1 star,24.576246,73.691181,"No3-4, Lake Palace Rd, Kalaji Goraji, Udaipur ,",Hotel Neelam Palace,1,1921
Nainital,4 star,29.361723,79.541144,"Nal Damyanti Tal Road, Nishola Village , Bhimtal",Aamod Resort - Bhimtal,4,3141
Dharamshala,1 star,0,0,"DHARAMKOT MCLOEDGANJ , Teh-Dharamshala",PAUL HOUSE,1,1503
Udaipur,2 star,24.535442,73.681425,"582-583, PENCILWALI BUILDG, , Near GOVERDHAN SAGAR LAKE,",Singhi Villa Guest House,2,1594
Nainital,2 star,29.4471236,79.5621,"Gagar, Ramgarh, Nainital ,",Kumaon Roop Resort- Ramgarh,2,1881
Gwalior,1 star,26.215473,78.176453,"N-7 Gandhi Nagar , Near Platform 4 Railway Station",Gulmohar Guest House,1,1753
Dharamshala,1 star,32.23864,76.323527,"Mcloedganj, Bhagsunag, Meleodganj ,",Hotel Buddhas Valley,1,1615
Kashipur,1 star,0,0,"Bazpur Road, , Kashipur",Hotel Business Inn,1,1046
Guwahati,2 star,26.166284,91.777256,"Ashirwad Enclave,Lakhimi Path,Jonali,Zoo Road,Guwahati. , Lakhimi Path, Jonali, Guwahati",Ashirwad Homestay,2,1589
Churu,1 star,28.301673,74.969177,"Behind Jain Market ,Churu Shekhavati , Shekhavati",Hotel Malji Ka Kamra,1,1378
Nainital,1 star,29.395323,79.458979,"Birla Chungi Chauraha, View point, Nainital ,",Snow View Huts,1,1161
Dharamshala,2 star,32.243818,76.332525,"Bhagsunag, Opp Main Parking Stand , Bhagsunag, Mcleodganj",Vikrant Hotel & Restaurant,2,1059
Gwalior,3 star,26.280869,78.200239,"Link Road, New Bus Stand Road ,",Hotel Gwalior Regency,3,1863
Kohima,1 star,0,0,"NMH-P/C 55 Aradura Hill , Near Little Flower School",The Classic Aradura Inn,1,1267
Nainital,5 star,29.396467,79.444232,"Mallital, , Mallital",Arif Castles,5,3182
Nainital,1 star,29.3659,79.535,"Village - Bhakgtura , PO Mehragaon",Green Glen,1,2125
MountAbu,3 star,24.582807,72.722581,"St Marry road, mount abu ,",Royale Palace,3,1396
Udaipur,1 star,0,0,"Plot No-1,Bhuvana By Pass Road , Plot No-1,Bhuvana By Pass Road",Hotel Riddhi Inn,1,1403
WeekendGetawaysAroundHyderabad,5 star,17.423613,78.462219,"22 Rajbhavan Road Somajiguda , Somajiguda",The Park Hyderabad,5,2427
Kashipur,1 star,0,0,"NH 74, Vaishali Colony, Ujjain , kashipur",Hotel royal inn,1,1431
WeekendGetawaysAroundHyderabad,3 star,17.444003,78.466197,"1-10-44/2, Chikoti Gardens, Begumpet , Chikoti Gardens",Kamat Lingapur Hotel,3,1085
Tirupati,4 star,13.625793,79.431632,"#45, Near Ramanuja Circle, Renigunta Road , Tirupati",Bliss Hotel,4,2032
Kollam,1 star,0,0,"Pallimukku homestay, Kollam ,",Pallimukku homestay,1,1851
Tirupati,1 star,13.629596,79.416871,"150, south mada steet , Opp Bhimas Deluxe",SRI MEENAKSHI RESIDENCY,1,2211
Nainital,3 star,29.382749,79.464581,"Near Mall, Tallital , Zoo Road",Welcome Park,3,1579
Guwahati,1 star,26.18497,91.747367,"G.N.B. Road, Don Bosco Chariali, Pan Bazar , Don Bosco Chariali",Star Lodge,1,1887
Nainital,1 star,29.382597,79.464409,"Sufolk fall, Zoo Road Tallital , Nainital",hotel prashant,1,1230
Udaipur,1 star,24.5809,73.6828,"18, Panduwari near Gangaurghat ,",Harsh Vilas Guest House,1,1833
NubraValley,1 star,34.585531,77.47735,"Apple Nubra Chakzot-Hunder , Nubra Valley",Apple Cottage,1,1511
